Canonical_Event,Event_Category,Business_Definition,Expected_Page,Expected_Element,Business_Owner,Lifecycle_Status,Required_Properties
homepage_view,Page View,Homepage loaded,home,page,Digital Experience,Active,"page_name,device_type,service_line"
find_care_click,Navigation,User clicks Find Care CTA,home,find_care_cta,Digital Experience,Active,"page_name,element_name,device_type"
provider_search,Search,User submits provider search,find_care,provider_search,Digital Experience,Active,"page_name,search_type,device_type,service_line"
provider_filter_click,Search,User applies provider search filter,find_care,provider_filter,Digital Experience,Active,"page_name,element_name,device_type"
provider_profile_view,Engagement,User views provider profile,provider_profile,page,Digital Experience,Active,"page_name,provider_id,device_type,service_line"
schedule_click,Conversion,User clicks Schedule CTA,provider_profile,schedule_cta,Patient Access,Active,"page_name,element_name,device_type,service_line"
scheduling_started,Conversion,Scheduling workflow begins,scheduling,workflow_start,Patient Access,Active,"page_name,device_type,service_line"
location_selected,Scheduling,User selects a location,scheduling,location_selector,Patient Access,Active,"page_name,location_id,device_type"
appointment_type_selected,Scheduling,User selects appointment type,scheduling,appointment_type,Patient Access,Active,"page_name,appointment_type,device_type"
date_selected,Scheduling,User selects appointment date,scheduling,date_selector,Patient Access,Active,"page_name,device_type"
time_selected,Scheduling,User selects appointment time,scheduling,time_selector,Patient Access,Active,"page_name,device_type"
insurance_step_view,Scheduling,Insurance step displayed,scheduling,insurance_step,Patient Access,Active,"page_name,device_type"
appointment_completed,Conversion,Digital appointment scheduling completed,scheduling,confirmation,Patient Access,Active,"page_name,device_type,service_line"
schedule_abandoned,Conversion,User exits scheduling before completion,scheduling,workflow_exit,Patient Access,Active,"page_name,abandonment_step,device_type"
provider_call_click,Conversion,User clicks provider phone number,provider_profile,phone_link,Digital Experience,Active,"page_name,element_name,device_type"
directions_click,Navigation,User clicks directions link,location,directions_link,Digital Experience,Active,"page_name,location_id,device_type"
location_search,Search,User searches care locations,locations,location_search,Digital Experience,Active,"page_name,device_type"
service_line_view,Engagement,User views service line content,service_line,page,Marketing Analytics,Active,"page_name,service_line,device_type"
campaign_landing_view,Marketing,Campaign landing page viewed,campaign,page,Marketing Analytics,Active,"page_name,campaign_id,device_type"
cta_click,Engagement,Generic approved CTA click,various,cta,Digital Experience,Active,"page_name,element_name,device_type"
mychart_click,Navigation,User clicks patient portal/MyChart link,home,mychart_link,Digital Experience,Active,"page_name,device_type"
urgent_care_checkin_click,Conversion,User clicks urgent care check-in,urgent_care,checkin_cta,Patient Access,Active,"page_name,location_id,device_type"
virtual_care_click,Conversion,User clicks virtual care CTA,virtual_care,virtual_care_cta,Patient Access,Active,"page_name,device_type,service_line"
faq_expand,Engagement,User expands FAQ,various,faq,Digital Experience,Active,"page_name,element_name,device_type"
form_start,Form,User begins digital form,forms,form,Digital Experience,Active,"page_name,form_name,device_type"
form_submit,Form,User submits digital form,forms,form,Digital Experience,Active,"page_name,form_name,device_type"
billing_pay_click,Conversion,User clicks pay bill,billing,pay_bill_cta,Digital Experience,Active,"page_name,device_type"
medical_records_click,Navigation,User clicks medical records,patient_resources,medical_records_link,Digital Experience,Active,"page_name,device_type"
careers_click,Navigation,User clicks careers,home,careers_link,Corporate Digital,Active,"page_name,device_type"
donate_click,Conversion,User clicks donate,foundation,donate_cta,Foundation,Active,"page_name,device_type"
newsletter_signup,Conversion,User completes newsletter signup,newsletter,form,Marketing Analytics,Active,"page_name,device_type"
insurance_check_click,Navigation,User clicks insurance checker,insurance,insurance_checker,Patient Access,Active,"page_name,device_type"
symptom_checker_start,Engagement,User starts symptom checker,symptom_checker,start_cta,Digital Experience,Deprecated,"page_name,device_type"
old_find_doctor_click,Navigation,Legacy provider finder CTA,home,legacy_find_doctor,Digital Experience,Deprecated,"page_name,device_type"
covid_banner_click,Navigation,Legacy COVID banner click,home,covid_banner,Marketing Analytics,Deprecated,"page_name,device_type"
legacy_schedule_now,Conversion,Legacy schedule CTA,provider_profile,schedule_now,Patient Access,Deprecated,"page_name,device_type"
