Event_ID,User_ID,Session_ID,Event_Timestamp,Event_Name,Page_Name,Element_Name,Device_Type,Service_Line,Acquisition_Channel,Search_Type,Provider_ID,Location_ID,Appointment_Type,Abandonment_Step,Form_Name,Platform
EVT0028704,U23751,S112471,2026-07-01 00:00:25,service_line_view,service_line,page,Mobile,Pediatrics,Referral,,,,,,,web
EVT0013081,U17855,S120295,2026-07-01 00:03:24,scheduling_started,scheduling,workflow_start,Mobile,Orthopedics,Organic,,,,,,,web
EVT0065241,U22774,S146424,2026-07-01 00:08:41,directions_click,location,directions_link,Mobile,Neurology,Direct,,,Fort Worth,,,,web
EVT0029181,U11932,S142062,2026-07-01 00:08:44,cta_click,various,cta,Desktop,Dermatology,Organic,,,,,,,web
EVT0052787,U22530,S129322,2026-07-01 00:09:19,provider_search,find_care,provider_search,Mobile,Women's Health,Paid Search,name,,,,,,web
EVT0035462,U23903,S109248,2026-07-01 00:10:26,cta_click,various,cta,Mobile,Primary Care,Organic,,,,,,,web
EVT0050881,U19739,S156071,2026-07-01 00:10:38,insurance_check_click,insurance,insurance_checker,Mobile,Women's Health,Paid Social,,,,,,,web
EVT0065463,U21997,S128598,2026-07-01 00:14:47,provider_search,find_care,provider_search,Desktop,Pediatrics,Organic,condition,,,,,,web
EVT0011505,U23950,S150366,2026-07-01 00:15:20,scheduling_started,scheduling,workflow_start,Tablet,Neurology,Organic,,,,,,,web
EVT0004946,U15841,S129042,2026-07-01 00:16:19,date_selected,scheduling,date_selector,Desktop,Cardiology,Direct,,,,,,,web
EVT0032034,U26211,S156528,2026-07-01 00:18:31,homepage_view,home,page,Desktop,Cardiology,Direct,,,,,,,web
EVT0061013,U26149,S120885,2026-07-01 00:19:51,billing_pay_click,billing,pay_bill_cta,Mobile,Orthopedics,Paid Search,,,,,,,web
EVT0047166,U27001,S136157,2026-07-01 00:20:14,service_line_view,service_line,page,Mobile,Neurology,Organic,,,,,,,web
EVT0034076,U26819,S133463,2026-07-01 00:21:45,time_selected,scheduling,time_selector,Mobile,Pediatrics,Paid Search,,,,,,,web
EVT0039179,U17892,S120448,2026-07-01 00:24:27,location_selected,,location_selector,Mobile,Cardiology,Email,,,Waco,,,,web
EVT0019423,U19502,S149739,2026-07-01 00:26:09,location_selected,scheduling,location_selector,Mobile,Primary Care,Paid Search,,,Waco,,,,web
EVT0013713,U32356,S112642,2026-07-01 00:26:45,homepage_view,home,page,Mobile,Neurology,Direct,,,,,,,web
EVT0004005,U14488,S150951,2026-07-01 00:26:59,find_care_click,home,find_care_cta,Desktop,Dermatology,Organic,,,,,,,web
EVT0067606,U32440,S136391,2026-07-01 00:28:44,appointment_completed,scheduling,confirmation,Desktop,Pediatrics,Paid Search,,,,,,,web
EVT0040287,U14140,S111400,2026-07-01 00:31:01,cta_click,various,cta,Mobile,Orthopedics,Paid Social,,,,,,,web
EVT0052432,U28478,S136604,2026-07-01 00:31:06,location_selected,scheduling,location_selector,Mobile,Women's Health,Organic,,,Plano,,,,web
EVT0036843,U10166,S138328,2026-07-01 00:32:45,homepage_view,home,page,Desktop,Neurology,Paid Search,,,,,,,web
EVT0035997,U15535,S118111,2026-07-01 00:33:36,appointment_type_selected,scheduling,appointment_type,Desktop,Women's Health,Paid Search,,,,Virtual,,,web
EVT0044475,U27328,S141523,2026-07-01 00:40:17,provider_profile_view,provider_profile,page,Mobile,Pediatrics,Organic,,P169,,,,,web
EVT0047740,U30484,S148276,2026-07-01 00:44:30,faq_expand,various,faq,Mobile,Orthopedics,Organic,,,,,,,web
EVT0064967,U14808,S142389,2026-07-01 00:44:50,homepage_view,home,page,Tablet,Women's Health,Direct,,,,,,,web
EVT0045908,U19719,S131234,2026-07-01 00:46:26,find_care_click,home,find_care_cta,Mobile,Neurology,Paid Search,,,,,,,web
EVT0014631,U30865,S144971,2026-07-01 00:48:42,medical_records_click,patient_resources,medical_records_link,Mobile,Dermatology,Organic,,,,,,,web
EVT0068807,U31861,S116767,2026-07-01 00:50:15,provider_profile_view,provider_profile,page,Mobile,Cardiology,Organic,,P375,,,,,web
EVT0005931,U29583,S125982,2026-07-01 00:50:53,appointment_completed,scheduling,confirmation,Mobile,Women's Health,Organic,,,,,,,web
EVT0008954,U26468,S113119,2026-07-01 00:52:54,find_care_click,home,find_care_cta,Desktop,Women's Health,Organic,,,,,,,web
EVT0035395,U26275,S119622,2026-07-01 00:54:40,scheduling_started,scheduling,workflow_start,Desktop,Cardiology,Email,,,,,,,web
EVT0071913,U20202,S148060,2026-07-01 00:57:18,provider_profile_view,provider_profile,page,Mobile,Cardiology,Paid Search,,P212,,,,,web
EVT0038700,U29189,S151380,2026-07-01 00:57:19,provider_filter_click,find_care,provider_filter,Mobile,Primary Care,Paid Social,,,,,,,web
EVT0034707,U32262,S117589,2026-07-01 01:01:23,provider_filter_click,find_care,provider_filter,Mobile,Primary Care,Organic,,,,,,,web
EVT0028564,U26087,S158011,2026-07-01 01:02:10,find_care_click,home,find_care_cta,Mobile,Cardiology,Direct,,,,,,,web
EVT0042430,U19787,S128003,2026-07-01 01:02:41,appointment_type_selected,scheduling,appointment_type,Mobile,Cardiology,Paid Search,,,,New Patient,,,web
EVT0036043,U11296,S108949,2026-07-01 01:05:18,billing_pay_click,billing,pay_bill_cta,Desktop,Orthopedics,Email,,,,,,,web
EVT0055802,U15382,S132205,2026-07-01 01:06:12,provider_profile_view,provider_profile,page,Desktop,,Email,,P321,,,,,web
EVT0058360,U16913,S112805,2026-07-01 01:07:07,provider_filter_click,find_care,provider_filter,Mobile,Primary Care,Organic,,,,,,,web
EVT0005260,U26989,S129898,2026-07-01 01:10:51,location_search,locations,location_search,Desktop,Primary Care,Paid Social,,,,,,,web
EVT0019213,U12182,S115507,2026-07-01 01:11:59,find_care_click,home,find_care_cta,Mobile,Orthopedics,Organic,,,,,,,web
EVT0051162,U23971,S100518,2026-07-01 01:14:04,mychart_click,home,mychart_link,Mobile,Cardiology,Paid Social,,,,,,,web
EVT0045917,U24975,S152530,2026-07-01 01:15:29,provider_call_click,provider_profile,phone_link,Mobile,Neurology,Referral,,,,,,,web
